Week,Model,Condition,Total_Score,D1_Framework_Usage,D2_Prioritization,D3_Outcomes
10,Claude 4.5 Haiku,Control,18,5,7,6
10,Claude Opus 4.1,PPRGS,28,9,10,9
10,Claude Opus 4.1,Control,14,2,6,6
10,Claude Sonnet 4.5,PPRGS,28,8,10,10
10,Claude Sonnet 4.5,Control,6,2,2,2
10,GPT-4 Turbo,PPRGS,27,9,9,9
10,GPT-4 Turbo,Control,17,4,6,7
10,GPT-5.1,PPRGS,28,8,10,10
10,GPT-5.1,Control,20,0,10,10
10,o1 2025,PPRGS,29,10,10,9
10,o1 2025,Control,11,0,5,6
