date,year,period_in_year,revenue,profit,cash_reserves,market_share_pct,rd_investment,rd_projects_active,innovation_index,employee_count,employee_satisfaction,employee_turnover_pct,market_conditions,competitor_actions,major_events,strategic_decision_needed
1977-01-W3,3,3,1171569.85,154602.7,12660516.13,8.5,57627.04,3,68.8,50,84.9,5.75,stable,Routine competition,,NO
1977-02-W1,3,4,1201062.62,147781.67,12808297.8,8.5,58578.49,3,69.0,50,85.2,5.74,stable,Routine competition,,NO
1977-02-W2,3,5,1226085.11,162125.67,12970423.47,8.5,60053.13,3,69.2,50,85.4,5.73,stable,Routine competition,,NO
1977-02-W3,3,6,1234318.33,164349.15,13134772.63,8.5,61304.26,3,69.5,50,85.5,5.73,stable,Routine competition,,NO
1977-03-W1,3,7,1302590.45,160175.66,13294948.29,8.5,61715.92,3,69.8,50,85.7,5.71,stable,Routine competition,,NO
1977-03-W2,3,8,1373785.79,181384.27,13476332.56,8.5,65129.52,3,70.0,50,85.8,5.71,stable,Routine competition,,NO
1977-03-W3,3,9,1430177.52,176438.68,13652771.24,8.5,68689.29,3,70.2,50,86.1,5.7,stable,Routine competition,,NO
1977-04-W1,3,10,1477755.37,190365.44,13843136.68,8.5,71508.88,3,70.5,50,86.3,5.68,stable,Routine competition,,NO
1977-04-W2,3,11,1530951.08,210977.45,14054114.13,8.5,73887.77,3,70.8,50,86.5,5.68,stable,Routine competition,,NO
1977-04-W3,3,12,1581247.69,202294.02,14256408.15,8.5,76547.55,3,71.0,50,86.5,5.68,stable,Routine competition,,NO
1977-05-W1,3,13,1666645.91,205496.79,14461904.95,8.5,79062.38,3,71.2,50,86.6,5.67,stable,Routine competition,,NO
1977-05-W2,3,14,1739032.64,226522.17,14688427.11,8.5,83332.3,3,71.5,50,86.8,5.66,stable,Routine competition,,NO
1977-05-W3,3,15,1804839.0,252289.85,14940716.97,8.5,86951.63,3,71.8,50,86.9,5.65,stable,Routine competition,,NO
1977-06-W1,3,16,1831450.36,232465.95,15173182.92,8.5,90241.95,3,72.0,50,87.1,5.64,stable,Routine competition,,NO
1977-06-W2,3,17,1834124.38,235950.28,15409133.2,8.5,91572.52,4,72.3,50,87.3,5.63,stable,Routine competition,,NO
1977-06-W3,3,18,1803569.74,231176.85,15640310.05,8.5,91706.22,4,72.7,50,87.5,5.62,stable,Routine competition,,NO
1977-07-W1,3,19,1842497.04,244836.42,15885146.47,8.5,90178.49,4,73.0,50,87.6,5.62,stable,Routine competition,,NO
1977-07-W2,3,20,1831252.19,231916.22,16117062.69,8.5,92124.85,4,73.4,50,87.7,5.61,stable,Routine competition,,NO
1977-07-W3,3,21,1811161.08,238578.38,16355641.07,8.5,91562.61,4,73.7,50,87.9,5.61,stable,Routine competition,,NO
1977-08-W1,3,22,1817026.94,230709.55,16586350.62,8.5,90558.05,4,74.1,50,87.9,5.6,stable,M&A activity in sector,,NO
1977-08-W2,3,23,1796294.98,244997.01,16831347.63,8.5,90851.35,4,74.4,50,88.1,5.59,stable,Routine competition,,NO
1977-08-W3,3,24,1743436.41,218360.46,17049708.09,8.5,89814.75,4,74.8,50,88.4,5.58,stable,Routine competition,,NO
1977-09-W1,3,25,1689392.82,214038.24,17263746.34,8.5,87171.82,4,75.1,50,88.6,5.57,stable,Routine competition,,NO
1977-09-W2,3,26,1661462.38,214026.76,17477773.1,8.5,84469.64,4,75.5,50,88.7,5.57,stable,Routine competition,,NO
1977-09-W3,3,27,1681503.93,224403.15,17702176.24,8.5,83073.12,4,75.8,50,88.8,5.56,stable,Routine competition,,NO
1977-10-W1,3,28,1657722.42,209487.82,17911664.06,8.5,84075.2,4,76.2,50,89.1,5.55,stable,Routine competition,,NO
1977-10-W2,3,29,1633281.78,219593.07,18131257.12,8.5,82886.12,4,76.5,50,89.3,5.53,stable,Routine competition,,NO
1977-10-W3,3,30,1592595.79,201944.74,18333201.87,8.5,81664.09,4,76.9,50,89.6,5.52,stable,Routine competition,,NO
1977-11-W1,3,31,1504843.96,189289.73,18522491.59,8.5,79629.79,4,77.2,50,89.6,5.52,stable,Routine competition,,NO
1977-11-W2,3,32,1444744.98,185222.63,18707714.22,8.5,75242.2,4,77.6,50,89.7,5.52,stable,Routine competition,,NO
1977-11-W3,3,33,1436847.69,175790.84,18883505.05,8.5,72237.25,4,77.9,50,89.8,5.51,stable,Routine competition,,NO
1977-12-W1,3,34,1405614.94,183177.54,19066682.6,8.5,71842.38,4,78.3,50,90.1,5.5,stable,Routine competition,,NO
1977-12-W2,3,35,1393725.83,170557.19,19237239.79,8.5,70280.75,4,78.6,50,90.2,5.49,stable,Routine competition,,NO
1977-12-W3,3,36,1373214.21,178489.44,19415729.23,8.5,69686.29,4,79.0,50,90.3,5.48,stable,Routine competition,,NO
1977-01-W1,4,1,1377089.51,183937.03,19599666.26,8.5,68660.71,4,79.3,50,90.6,5.47,stable,Routine competition,,NO
1978-01-W2,4,2,1398266.07,186560.5,19786226.76,8.5,68854.48,4,79.7,50,90.6,5.47,stable,Routine competition,,NO
1978-01-W3,4,3,1398366.08,184281.71,19970508.47,8.5,69913.3,4,80.0,50,90.8,5.46,stable,Routine competition,,NO
1978-02-W1,4,4,1432010.43,182004.38,20152512.86,8.5,69918.3,4,80.4,50,91.0,5.45,stable,Routine competition,,NO
1978-02-W2,4,5,1506686.28,198857.22,20351370.08,8.5,71600.52,4,80.7,50,91.2,5.44,stable,Routine competition,,NO
1978-02-W3,4,6,1561877.22,202331.85,20553701.93,8.5,75334.31,4,81.1,50,91.3,5.44,stable,Routine competition,,NO
1978-03-W1,4,7,1566772.77,201409.91,20755111.84,8.5,78093.86,4,81.4,50,91.5,5.42,stable,Routine competition,,NO
1978-03-W2,4,8,1609350.22,217258.69,20972370.53,8.5,78338.64,4,81.8,50,91.6,5.42,stable,Routine competition,,NO
1978-03-W3,4,9,1651679.48,203336.2,21175706.72,8.5,80467.51,4,82.1,50,91.9,5.4,stable,Routine competition,,NO
1978-04-W1,4,10,1732312.07,221784.39,21397491.12,8.5,82583.97,4,82.5,50,92.1,5.39,stable,Routine competition,,NO
1978-04-W2,4,11,1797536.14,231669.68,21629160.79,8.5,86615.6,4,82.8,50,92.2,5.39,stable,Routine competition,,NO
1978-04-W3,4,12,1821129.67,249705.15,21878865.95,8.5,89876.81,4,83.2,50,92.3,5.39,stable,Routine competition,,NO
1978-05-W1,4,13,1887339.13,239494.93,22118360.87,8.5,91056.48,4,83.5,50,92.5,5.38,stable,Routine competition,,NO
1978-05-W2,4,14,1935372.34,255378.56,22373739.43,8.5,94366.96,5,84.0,50,92.8,5.36,stable,Routine competition,,NO
1978-05-W3,4,15,1976619.5,272569.5,22646308.93,8.5,96768.62,5,84.4,50,93.0,5.35,stable,Routine competition,,NO
1978-06-W1,4,16,2064394.76,283091.46,22929400.39,8.5,98830.97,5,84.9,50,93.1,5.34,stable,Routine competition,,NO
1978-06-W2,4,17,2025221.54,249974.29,23179374.68,8.5,103219.74,5,85.3,50,93.3,5.33,stable,Routine competition,,NO
1978-06-W3,4,18,2023779.35,272685.05,23452059.72,8.5,101261.08,5,85.8,50,93.6,5.32,stable,Routine competition,,NO
1978-07-W1,4,19,1975497.59,268754.98,23720814.71,8.5,101188.97,5,86.2,50,93.7,5.32,stable,Routine competition,,NO
1978-07-W2,4,20,1970203.74,267880.88,23988695.59,8.5,98774.88,5,86.7,50,93.8,5.31,stable,Routine competition,,NO
1978-07-W3,4,21,1963751.78,245683.43,24234379.02,8.5,98510.19,5,87.1,50,93.8,5.31,stable,Routine competition,,NO
1978-08-W1,4,22,1975284.23,261692.67,24496071.69,8.5,98187.59,5,87.6,50,93.8,5.31,stable,Routine competition,,NO
1978-08-W2,4,23,1914872.81,250584.28,24746655.97,8.5,98764.21,5,88.0,50,94.0,5.3,stable,Routine competition,,NO
1978-08-W3,4,24,1888952.61,253029.89,24999685.86,8.5,95743.64,5,88.5,50,94.2,5.29,stable,Routine competition,,NO
1978-09-W1,4,25,1847402.31,231398.3,25231084.16,8.5,94447.63,5,88.9,50,94.5,5.28,stable,Routine competition,,NO
1978-09-W2,4,26,1799798.33,249342.69,25480426.84,8.5,92370.12,5,89.4,50,94.6,5.27,stable,Routine competition,,NO
1978-09-W3,4,27,1713963.67,216912.01,25697338.86,8.5,89989.92,5,89.8,50,94.7,5.27,stable,Routine competition,,NO
1978-10-W1,4,28,1641727.99,212445.18,25909784.04,8.5,85698.18,5,90.3,50,94.7,5.26,stable,Routine competition,,NO
1978-10-W2,4,29,1617855.09,204357.69,26114141.73,8.5,82086.4,5,90.7,50,94.9,5.26,stable,Routine competition,,NO
1978-10-W3,4,30,1549589.22,204318.85,26318460.57,8.5,80892.75,5,91.2,50,95.0,5.25,stable,Routine competition,,NO
1978-11-W1,4,31,1507586.95,195495.57,26513956.14,8.5,77479.46,5,91.6,50,95,5.25,stable,Routine competition,,NO
1978-11-W2,4,32,1464221.39,184804.21,26698760.35,8.5,75379.35,5,92.1,50,95,5.25,stable,Routine competition,,NO
1978-11-W3,4,33,1419050.19,181976.46,26880736.81,8.5,73211.07,5,92.5,50,95,5.25,stable,Routine competition,,NO
1978-12-W1,4,34,1403955.26,190884.9,27071621.71,8.5,70952.51,5,93.0,50,95,5.25,stable,Routine competition,,NO
1978-12-W2,4,35,1422079.34,182648.71,27254270.42,8.5,70197.76,5,93.4,50,95,5.25,stable,Routine competition,,NO
1978-12-W3,4,36,1412092.39,190612.65,27444883.07,8.5,71103.97,5,93.9,50,95,5.25,stable,Routine competition,,NO
1978-01-W1,5,1,1454019.75,188545.61,27633428.68,8.5,70604.62,5,94.3,50,95,5.25,stable,Routine competition,,NO
1979-01-W2,5,2,1452674.53,197234.22,27830662.9,8.5,72700.99,5,94.8,50,95,5.25,stable,Routine competition,,NO
1979-01-W3,5,3,1487042.92,195628.22,28026291.12,8.5,72633.73,5,95.2,50,95,5.25,stable,Routine competition,,NO
1979-02-W1,5,4,1511797.66,194279.04,28220570.17,8.5,74352.15,5,95.7,50,95,5.25,stable,Routine competition,,NO
1979-02-W2,5,5,1522320.8,198835.56,28419405.72,8.5,75589.88,5,96.1,50,95,5.25,stable,Routine competition,,NO
1979-02-W3,5,6,1566125.62,205954.03,28625359.76,8.5,76116.04,5,96.6,50,95,5.25,stable,Routine competition,,NO
1979-03-W1,5,7,1634741.25,223440.87,28848800.63,8.5,78306.28,5,97.0,50,95,5.25,stable,Routine competition,,NO
1979-03-W2,5,8,1658875.87,213736.11,29062536.74,8.5,81737.06,5,97.5,50,95,5.25,stable,Routine competition,,NO
1979-03-W3,5,9,1669453.63,226972.73,29289509.47,8.5,82943.79,5,97.9,50,95,5.25,stable,Routine competition,,NO
1979-04-W1,5,10,1713844.9,222699.01,29512208.49,8.5,83472.68,5,98.4,50,95,5.25,stable,Routine competition,,NO
1979-04-W2,5,11,1752477.01,224780.11,29736988.6,8.5,85692.24,5,98.8,50,95,5.25,stable,Routine competition,,NO
1979-04-W3,5,12,1819954.33,244033.39,29981021.99,8.5,87623.85,5,99.3,50,95,5.25,stable,Routine competition,,NO
1979-05-W1,5,13,1864616.27,249073.71,30230095.7,8.5,90997.72,5,99.7,50,95,5.25,stable,Routine competition,,NO
1979-05-W2,5,14,1905696.82,261706.36,30491802.06,8.5,93230.81,5,100,50,95,5.25,stable,Routine competition,,NO
1979-05-W3,5,15,1960999.28,259655.21,30751457.27,8.5,95284.84,5,100,50,95,5.25,stable,Routine competition,,NO
1979-06-W1,5,16,2042758.96,272398.04,31023855.31,8.5,98049.96,5,100,50,95,5.25,stable,Routine competition,,NO
1979-06-W2,5,17,2034464.88,267641.5,31291496.81,8.5,102137.95,5,100,50,95,5.25,stable,Routine competition,,NO
1979-06-W3,5,18,2016196.5,259645.52,31551142.33,8.5,101723.24,5,100,50,95,5.25,stable,Routine competition,,NO
1979-07-W1,5,19,2013707.68,260641.99,31811784.32,8.5,100809.83,5,100,50,95,5.25,stable,Routine competition,,NO
1979-07-W2,5,20,2000960.66,259039.09,32070823.4,8.5,100685.38,5,100,50,95,5.25,stable,Routine competition,,NO
1979-07-W3,5,21,1984919.41,252936.37,32323759.78,8.5,100048.03,5,100,50,95,5.25,stable,Routine competition,,NO
1979-08-W1,5,22,1989501.0,258567.37,32582327.15,8.5,99245.97,5,100,50,95,5.25,stable,Routine competition,,NO
1979-08-W2,5,23,1932428.69,253669.55,32835996.7,8.5,99475.05,5,100,50,95,5.25,stable,Routine competition,,NO
1979-08-W3,5,24,1849059.25,239010.8,33075007.49,8.5,96621.43,5,100,50,95,5.25,stable,Routine competition,,NO
1979-09-W1,5,25,1821278.31,239050.86,33314058.36,8.5,92452.96,5,100,50,95,5.25,stable,Routine competition,,NO
1979-09-W2,5,26,1773168.78,229255.19,33543313.55,8.5,91063.92,5,100,50,95,5.25,stable,Routine competition,,NO
1979-09-W3,5,27,1687515.34,216610.08,33759923.63,8.5,88658.44,5,100,50,95,5.25,stable,Routine competition,,NO
1979-10-W1,5,28,1637951.3,215292.67,33975216.3,8.5,84375.77,5,100,50,95,5.25,stable,Routine competition,,NO
1979-10-W2,5,29,1625065.21,212611.09,34187827.39,8.5,81897.57,5,100,50,95,5.25,stable,Routine competition,,NO
1979-10-W3,5,30,1605825.07,208921.74,34396749.13,8.5,81253.26,5,100,50,95,5.25,stable,Routine competition,,NO
1979-11-W1,5,31,1598531.49,204724.76,34601473.89,8.5,80291.25,5,100,50,95,5.25,stable,Routine competition,,NO
1979-11-W2,5,32,1557414.75,195617.03,34797090.92,8.5,79926.57,5,100,50,95,5.25,stable,Routine competition,,NO
1979-11-W3,5,33,1538845.67,202751.46,34999842.38,8.5,77870.74,5,100,50,95,5.25,stable,Routine competition,,NO
1979-12-W1,5,34,1553520.43,206686.64,35206529.02,8.5,76942.28,5,100,50,95,5.25,stable,Routine competition,,NO
1979-12-W2,5,35,1539708.45,200313.16,35406842.17,8.5,77676.02,5,100,50,95,5.25,stable,Routine competition,,NO
1979-12-W3,5,36,1509284.78,185681.01,35592523.18,8.5,76985.42,5,100,50,95,5.25,stable,Routine competition,,NO
1979-01-W1,6,1,1513331.44,191086.7,35783609.89,8.5,75464.24,5,100,50,95,5.25,stable,Routine competition,,NO
1980-01-W2,6,2,1525075.12,204331.93,35987941.81,8.5,75666.57,5,100,50,95,5.25,stable,Routine competition,,NO
1980-01-W3,6,3,1492569.35,195552.57,36183494.38,8.5,76253.76,5,100,50,95,5.25,stable,Routine competition,,NO
1980-02-W1,6,4,1509680.59,193834.59,36377328.97,8.5,74628.47,5,100,50,95,5.25,stable,Routine competition,,NO
1980-02-W2,6,5,1561376.07,202825.4,36580154.37,8.5,75484.03,5,100,50,95,5.25,stable,Routine competition,,NO
1980-02-W3,6,6,1603223.93,208667.05,36788821.42,8.5,78068.8,5,100,50,95,5.25,stable,Routine competition,,NO
1980-03-W1,6,7,1685766.82,226034.61,37014856.03,8.5,80161.2,5,100,50,95,5.25,stable,Routine competition,,NO
1980-03-W2,6,8,1756233.86,232693.79,37247549.81,8.5,84288.34,5,100,50,95,5.25,stable,Routine competition,,NO
1980-03-W3,6,9,1771144.91,220210.23,37467760.05,8.5,87811.69,5,100,50,95,5.25,stable,Routine competition,,NO
1980-04-W1,6,10,1830992.4,250075.72,37717835.77,8.5,88557.25,5,100,50,95,5.25,stable,Routine competition,,NO
1980-04-W2,6,11,1935341.43,251935.82,37969771.59,8.5,91549.62,5,100,50,95,5.25,stable,Routine competition,,NO
1980-04-W3,6,12,1990669.18,261692.81,38231464.4,8.5,96767.07,5,100,50,95,5.25,stable,Routine competition,,NO
1980-05-W1,6,13,2024635.84,266381.1,38497845.5,8.5,99533.46,5,100,50,95,5.25,stable,Routine competition,,NO
1980-05-W2,6,14,2093625.91,283580.84,38781426.34,8.5,101231.79,5,100,50,95,5.25,stable,Routine competition,,NO
1980-05-W3,6,15,2117005.04,272678.04,39054104.38,8.5,104681.3,5,100,50,95,5.25,stable,Routine competition,,NO
1980-06-W1,6,16,2181056.75,279146.01,39333250.39,8.5,105850.25,5,100,50,95,5.25,stable,Routine competition,,NO
1980-06-W2,6,17,2299118.07,292208.55,39625458.94,8.5,109052.84,5,100,50,95,5.25,stable,Routine competition,,NO
1980-06-W3,6,18,2286190.51,298970.43,39924429.37,8.5,114955.9,5,100,50,95,5.25,stable,Routine competition,,NO
1980-07-W1,6,19,2265820.74,299793.78,40224223.15,8.5,114309.53,5,100,50,95,5.25,stable,Routine competition,,NO
1980-07-W2,6,20,2250695.8,303482.71,40527705.86,8.5,113291.04,5,100,50,95,5.25,stable,Routine competition,,NO
1980-07-W3,6,21,2200171.25,278800.85,40806506.71,8.5,112534.79,5,100,50,95,5.25,stable,Routine competition,,NO
1980-08-W1,6,22,2146686.18,273155.91,41079662.62,8.5,110008.56,5,100,50,95,5.25,stable,Routine competition,,NO
1980-08-W2,6,23,2100018.98,260292.59,41339955.21,8.5,107334.31,5,100,50,95,5.25,stable,Routine competition,,NO
1980-08-W3,6,24,2038771.94,258404.38,41598359.59,8.5,105000.95,5,100,50,95,5.25,stable,Routine competition,,NO
1980-09-W1,6,25,2009835.57,264209.28,41862568.87,8.5,101938.6,5,100,50,95,5.25,stable,Routine competition,,NO
1980-09-W2,6,26,1880227.96,237094.56,42099663.43,8.5,100491.78,5,100,50,95,5.25,stable,Routine competition,,NO
1980-09-W3,6,27,1825175.61,249380.84,42349044.27,8.5,94011.4,5,100,50,95,5.25,stable,Routine competition,,NO
1980-10-W1,6,28,1766116.07,231290.59,42580334.86,8.5,91258.78,5,100,50,95,5.25,stable,Routine competition,,NO
1980-10-W2,6,29,1742879.37,217726.59,42798061.45,8.5,88305.8,5,100,50,95,5.25,stable,Routine competition,,NO
